ID,post_title,NEW TITLE
24,ST_burstiness,DN_burstiness
27,ST_mm,DN_MinMax
30,ST_bs,ST_SimpleStats
31,ST_propsimp,DN_ProportionValues
32,ST_means,DN_Mean
36,ST_mode,DN_HistogramMode
42,ST_median,DN_Mean
43,ST_trmean,DN_TrimmedMean
47,ST_spreads,DN_Spread
49,HT_hyptests,HT_HypothesisTest
50,EC_vratiotest,SY_VarRatioTest
51,EC_pptest,SY_PPtest
52,EC_kpsstest,SY_KPSStest
54,SY_dynstdder,SY_StdNthDerChange
55,KP_crinkle,DK_crinkle
56,KP_theilerQ,DK_theilerQ
58,DN_skewy,DN_CustomSkewness
59,DN_quanp,DN_Withinp
61,DN_quant,DN_Quantile
62,ST_cv,DN_cv
63,ST_bendist,DN_HighLowMu
64,DN_kssimp,DN_FitKernelSmooth
65,DF_mlefits,DN_Fit_mle
66,MF_M_mtlbfit,DN_SimpleFit
67,DF_nlogL_norm,DN_nlogL_norm
68,DN_M_kscomp,DN_CompareKSFit
80,HT_disttests,HT_DistributionTest
81,CO_acfremove,DN_RemovePoints
91,TSTL_acf,CO_TSTL_AutoCorrMethod
92,CO_basicrecurf,CO_Embed2_Basic
94,CO_embed2_angle_varytau,CO_Embed2_AngleTau
96,CO_embed2_shapestats,CO_Embed2_Shapes
97,CO_information,CO_RM_AMInformation
98,CO_fmmi,CO_FirstMin
100,TSTL_amutual,CO_TSTL_amutual
101,TSTL_amutual2,CO_TSTL_amutual2
102,CO_ami_benhist,CO_HistogramAMI
105,ST_transition,SB_TransitionMatrix
106,ST_dyntransition,SB_TransitionpAlphabet
107,PD_wang07,PD_PeriodicityWang
108,DT_isseas,DT_IsSeasonal
109,SP_basicmeasures,SP_Summaries
112,WL_powerlevels,WL_DetailCoeffs
116,SY_slidwin,SY_SlidingWindow
118,SY_dynpick,SY_SpreadRandomLocal
119,SY_detrendq,SY_LinearTrend
120,SY_drifting,SY_DriftingMean
121,SY_compdtn,SY_LocalDistributions
122,ST_cumul,SY_LocalGlobal
123,ST_benlocext,ST_LocalExtrema
124,TISEAN_nstat_z,SY_TISEAN_nstat_z
125,ST_momcorr,ST_MomentCorr
126,WL_varchg,CP_wavelet_varchg
127,ML_step_detection,CP_ML_StepDetect
128,ML_l1pwc_sweep_lambda,CP_l1pwc_sweep_lambda
129,fastdfa,SC_fastdfa
130,ST_hurst_exponent,BD_hurst_exponent
131,SC_benfa,SC_FluctAnal
133,EN_entropies,EN_wentropy
134,EN_pdfent,EN_Shannonpdf
135,EN_ruden,EN_RM_entropy
136,EN_histent,EN_DistributionEntropy
139,EN_sampenc2,EN_SampEn
140,IN_surprise,FC_Surprise
141,ST_benbin,SB_BinaryStretch
142,MS_complexity,NL_MS_LZcomplexity
143,MS_shannon,EN_MS_shannon
145,ST_benincdec,SB_BinaryStats
146,ST_benmotif_bin,SB_MotifTwo
147,ST_benmotif_tri,SB_MotifThree
149,EN_progranz,EN_Randomize
150,TISEAN_d2,NL_TISEAN_d2
151,TISEAN_c1,NL_TISEAN_c1
152,TSTL_cao,NL_CaosMethod
153,TSTL_corrdim,NL_BoxCorrDim
154,TSTL_corrsum,NL_TSTL_GPCorrSum
155,TSTL_dimensions,NL_TSTL_dimensions
156,TSTL_fracdims,NL_TSTL_FractalDimensions
157,TSTL_takens_estimator,NL_TSTL_TakensEstimator
158,NL_fnnmar,NL_crptool_fnn
159,MS_fnn,NL_MS_fnn
166,TSTL_acp,NL_TSTL_acp
168,TSTL_poincare,NL_TSTL_PoincareSection
169,TSTL_largelyap,NL_TSTL_LargestLyap
170,TSTL_return_time,NL_TSTL_ReturnTime
171,KP_timerev,DK_timerev
172,KP_quickde,DK_quickde
173,TSTL_surr_nlac,SD_TSTL_surrogates
175,PP_compareba,PP_Compare
176,PP_progpp,PP_Iterate
177,MF_preproc,PP_ModelFit
178,ST_ftpoly,ST_FitPolynomial
179,MS_nlpe,NL_MS_nlpe
180,FC_primitive,FC_LocalSimple
181,FC_dynprimitive,FC_LoopLocalSimple
184,MF_ss_tt,MF_FitSubsegments
185,MF_ss_testset,MF_CompareTestSets
186,MF_ss_compare_orders,MF_StateSpaceCompOrder
187,MF_sissm,MF_StateSpace_n4sid
188,SID_Exponential_Smoothing,MF_ExpSmoothing
189,MF_M_ARfits,MF_AR_arcov
191,MF_linmodelorders,MF_CompareAR
194,MF_GARCH,MF_GARCHfit
195,MF_compare_garch,MF_GARCHcompare
196,ZG_hmm_fit,MF_hmm_fit
197,ZG_hmm_comparenstates,MF_hmm_CompareNStates
198,GP_hps,MF_GP_hyperparameters
199,GP_predict,MF_GP_LocalPrediction
200,GP_givealittle,MF_GP_FitAcross
204,CO_t_shape_translate,CO_TranslateShape
206,RN_gauss,RN_Gaussian
207,NW_visgraphben,NW_VisibilityGraph
209,DV_dynsys_dblwell,PH_ForcePotential
210,TR_walker,PH_Walker
475,DV_dynsys_sine,PH_ForcePotential
4660,ST_cumrange,SY_RangeEvolve
4662,OL_bentest,DN_OutlierTest
10432,RP_crpsimp,---
10433,EX_altmannben,EX_MovingThreshold
10434,DN_olmi,DN_OutlierInclude
10437,DN_kssimpc,DN_Compare_zscore
10438,CO_autocorrs_nl,CO_NonlinearAutocorr
10439,CO_fzcac,CO_FirstZero
10441,CO_fmac,CO_FirstMin
93,CO_Embed2,CO_Embed2
10442,CO_autocorr,CO_AutoCorr
57,DN_Moments,DN_Moments
60,DN_pleft,DN_pleft
73,CO_tc3,CO_tc3
87,CO_trev,CO_trev
88,CO_glscf,CO_glscf
89,CO_fzcglscf,CO_fzcglscf
95,CO_Embed2_Dist,CO_Embed2_Dist
205,CO_stickangles,CO_StickAngles
10440,CO_f1ecac,CO_f1ecac
137,EN_TSentropy,EN_TSentropy
138,EN_ApEn,EN_ApEn
144,MD_polvar,MD_polvar
148,EN_PermEn,EN_PermEn
183,MF_steps_ahead,MF_steps_ahead
190,MF_arfit,MF_arfit
192,MF_armax,MF_armax
193,MF_arma_orders,MF_ARMA_orders
201,MD_hrv_classic,MD_hrv_classic
202,MD_pNN,MD_pNN
203,MD_rawHRVmeas,MD_rawHRVmeas
26,ST_Length,ST_Length
53,SY_stdnthder,SY_StdNthDer
115,SY_StatAv,SY_StatAv
117,SY_DynWin,SY_DynWin
174,SD_SurrogateTest,SD_SurrogateTest
208,NL_embed_PCA,NL_embed_PCA
110,WL_cwt,WL_cwt
